etnia,sexo,escuela,edad,DEP1,DEP2,DEP3,DEP4,DEP5,DEP6,DEP7,DEP8,GAD1,GAD2,GAD3,GAD4,GAD5,GAD6,GAD7,MSPSS1,MSPSS2,MSPSS3,MSPSS4,MSPSS5,MSPSS6,MSPSS7,MSPSS8,MSPSS9,MSPSS10,MSPSS11,MSPSS12,DEP_Total,GAD_Total,MSPSS_Total
Predominante,Mujer,Publica nacional,16,1,1,0,2,2,3,3,1,1,2,1,1,2,0,0,1,5,4,6,4,2,4,4,2,6,4,3,13,7,3.75
Minoritaria,Mujer,Publica nacional,17,2,1,3,1,0,0,1,0,1,2,1,0,0,0,1,6,6,4,3,6,3,6,4,4,8,4,3,8,5,4.75
Predominante,Mujer,Publica nacional,16,3,1,1,3,0,2,3,0,1,3,3,3,1,2,0,3,3,3,1,2,4,5,1,5,4,4,4,13,13,3.25
Predominante,Mujer,Publica nacional,16,1,1,2,1,0,1,0,1,0,0,0,1,0,1,1,7,6,6,7,7,5,6,5,6,7,5,5,7,3,6
Predominante,Mujer,Publica nacional,14,3,2,1,1,0,1,3,1,3,3,3,2,1,3,2,1,4,7,5,5,5,5,6,6,5,7,4,12,17,5
Predominante,Mujer,Publica nacional,16,1,1,2,2,3,1,1,1,1,1,2,2,0,1,1,5,5,6,5,4,2,3,2,5,6,4,5,12,8,4.33333333333333
Predominante,Mujer,Publica nacional,15,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,1,1,1,7,1,1,1,1,1,1,1,1,21,21,1.5
Predominante,Mujer,Publica nacional,16,2,0,3,1,3,0,1,1,1,0,0,0,0,2,0,4,5,2,2,5,5,5,1,5,1,5,5,11,3,3.75
Predominante,Mujer,Publica nacional,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,0,0,7
Predominante,Mujer,Publica nacional,16,2,1,2,1,3,3,3,1,3,1,1,1,2,1,1,6,6,3,1,6,6,6,1,6,6,2,6,16,10,4.58333333333333
Minoritaria,Mujer,Publica nacional,25,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,1,2,3,1,1,1,1,1,1,1,22,21,1.91666666666667
Predominante,Mujer,Publica nacional,17,3,1,3,1,3,3,3,0,1,3,3,3,0,1,3,6,6,7,7,6,6,6,7,7,7,7,7,17,14,6.58333333333333
Predominante,Mujer,Publica nacional,16,1,0,0,2,1,1,1,3,1,3,3,3,0,1,0,6,6,6,6,7,7,5,3,7,7,7,7,9,11,6.16666666666667
Minoritaria,Mujer,Publica nacional,13,0,1,1,1,1,0,1,0,1,2,1,0,1,1,2,5,6,7,6,6,6,6,4,6,7,7,6,5,8,6
Predominante,Mujer,Publica nacional,14,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,6,6,7,7,6,4,6,4,6,6,7,4,7,4,5.75
Predominante,Mujer,Publica nacional,14,0,0,2,3,1,2,2,0,1,1,1,1,1,1,3,7,7,7,5,7,4,5,4,4,7,7,4,10,9,5.66666666666667
Predominante,Mujer,Publica nacional,13,1,0,2,1,1,0,1,0,1,1,2,1,0,3,1,6,7,7,7,7,5,3,7,3,7,7,3,6,9,5.75
Predominante,Mujer,Publica nacional,14,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,5,5,7,7,7,6,6,7,5,7,7,2,4,1,5.91666666666667
Predominante,Mujer,Publica nacional,14,2,1,0,1,0,1,1,0,1,1,1,2,1,0,1,7,7,7,7,7,6,7,6,6,4,7,5,6,7,6.33333333333333
Minoritaria,Mujer,Publica nacional,15,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,7,7,7,7,7,4,4,7,4,7,7,4,5,0,6
Minoritaria,Mujer,Publica nacional,15,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,5,1,3,3,1,1,1,3,1,1,5,1,24,19,2.16666666666667
Predominante,Mujer,Publica nacional,14,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,7,7,7,7,7,5,5,7,6,7,7,5,3,1,6.41666666666667
Predominante,Mujer,Publica nacional,15,0,1,3,1,2,0,0,0,0,2,1,0,0,1,0,7,7,7,7,7,5,6,4,4,7,7,5,7,4,6.08333333333333
Minoritaria,Mujer,Publica nacional,14,1,3,0,2,0,3,3,3,2,3,3,1,0,3,3,5,4,7,6,5,5,7,4,5,5,6,4,15,15,5.25
Predominante,Mujer,Publica nacional,15,3,1,2,3,1,3,1,0,1,3,3,1,1,3,2,5,6,7,7,7,2,2,7,5,5,7,5,14,14,5.41666666666667
Predominante,Mujer,Publica nacional,15,3,3,3,3,1,3,0,3,3,3,3,3,0,3,3,7,7,7,7,7,7,7,7,7,7,4,5,19,18,6.58333333333333
Minoritaria,Mujer,Publica nacional,16,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,6,7,7,3,5,7,6,5,7,7,6,0,4,5.66666666666667
Minoritaria,Mujer,Publica nacional,15,1,1,3,0,3,1,0,0,1,1,2,0,0,1,1,7,5,5,5,7,5,5,5,5,7,5,4,9,6,5.41666666666667
Predominante,Mujer,Publica nacional,15,3,1,0,0,3,1,1,0,2,1,1,0,0,1,0,3,1,5,2,1,1,3,2,6,3,3,1,9,5,2.58333333333333
Minoritaria,Mujer,Publica nacional,14,0,1,1,0,1,2,3,0,0,1,1,0,0,1,0,7,7,7,7,7,6,7,6,7,7,7,7,8,3,6.83333333333333
Predominante,Mujer,Publica nacional,15,3,0,0,1,3,1,1,1,1,1,1,3,1,1,1,1,6,1,1,6,4,4,7,2,7,6,6,10,9,4.25
Predominante,Mujer,Publica nacional,15,0,0,1,0,1,2,0,0,0,0,0,0,0,1,0,6,4,4,1,1,4,4,1,3,3,6,4,4,1,3.41666666666667
Predominante,Mujer,Publica nacional,16,1,0,1,1,0,0,1,0,1,0,1,0,0,1,1,7,6,7,6,7,5,6,6,6,6,7,6,4,4,6.25
Predominante,Mujer,Publica nacional,16,0,2,2,1,2,2,2,2,2,2,2,2,3,2,2,7,7,5,4,2,1,1,2,1,7,4,1,13,15,3.5
Predominante,Mujer,Publica nacional,15,1,2,1,1,1,2,2,0,1,2,2,1,1,1,2,2,2,6,6,2,5,4,6,5,5,6,5,10,10,4.5
Minoritaria,Mujer,Publica nacional,16,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,7,2,7,6,7,6,6,7,5,7,7,6,1,1,6.08333333333333
Minoritaria,Mujer,Publica nacional,15,1,3,0,0,0,3,1,0,1,0,3,0,0,0,3,2,5,7,7,2,5,5,6,5,5,6,5,8,7,5
Predominante,Mujer,Publica nacional,15,2,3,1,3,0,3,3,0,1,2,3,0,0,1,3,6,6,7,5,7,5,3,5,6,7,7,5,15,10,5.75
Predominante,Mujer,Publica nacional,16,2,3,3,3,0,0,3,0,2,3,3,3,0,0,0,1,5,4,7,1,1,1,6,1,1,6,1,14,11,2.91666666666667
Predominante,Mujer,Publica nacional,15,1,0,1,0,0,3,0,0,1,0,1,1,0,1,3,7,7,6,6,7,5,7,7,5,7,7,5,5,7,6.33333333333333
Minoritaria,Mujer,Publica nacional,15,3,0,1,0,2,0,1,0,1,1,0,3,1,1,1,6,6,7,3,7,5,3,2,6,7,5,4,7,8,5.08333333333333
Predominante,Mujer,Publica nacional,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,7,7,6,6,6,6,6,6,6,6,0,0,6.16666666666667
Predominante,Mujer,Publica nacional,16,3,3,3,3,3,1,1,2,3,3,3,3,1,3,2,6,6,6,6,6,6,6,6,6,6,6,6,19,18,6
Predominante,Mujer,Publica nacional,14,1,0,2,0,0,2,2,0,3,3,3,3,1,0,1,7,6,7,7,7,5,5,5,5,7,6,5,7,14,6
Minoritaria,Mujer,Publica nacional,14,3,2,4,0,0,3,3,3,2,3,1,3,2,1,3,7,7,7,7,7,6,6,6,7,7,6,5,18,15,6.5
Predominante,Mujer,Publica nacional,14,1,1,0,1,1,3,0,0,1,1,0,3,0,1,1,7,4,6,7,7,4,4,7,4,6,7,4,7,7,5.58333333333333
Predominante,Mujer,Publica nacional,15,1,1,0,1,0,3,1,0,1,1,1,0,0,3,1,5,7,7,6,7,5,3,6,6,5,6,5,7,7,5.66666666666667
Minoritaria,Mujer,Publica nacional,14,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,5,1,7,7,5,7,7,5,7,5,7,7,24,20,5.83333333333333
Predominante,Mujer,Publica nacional,15,1,2,3,1,1,2,1,0,0,0,1,0,0,2,1,4,4,7,6,5,4,3,5,5,6,5,3,11,4,4.75
Predominante,Mujer,Publica nacional,14,0,0,0,1,3,1,2,0,0,0,0,0,0,0,3,7,7,7,7,7,7,7,7,7,7,7,7,7,3,7
Minoritaria,Mujer,Publica nacional,15,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,5,7,7,2,0,6.83333333333333
Predominante,Mujer,Publica nacional,16,2,1,1,1,1,0,3,2,1,2,3,2,3,2,3,5,4,7,6,7,4,4,4,5,7,7,5,11,16,5.41666666666667
Predominante,Mujer,Publica nacional,17,0,2,0,0,0,1,3,0,0,3,3,0,0,3,3,1,1,7,7,4,1,7,7,1,4,7,1,6,12,4
Predominante,Mujer,Publica nacional,17,3,2,1,1,1,3,3,3,3,3,3,3,3,2,1,7,7,2,2,7,6,5,1,5,7,2,4,17,18,4.58333333333333
Minoritaria,Mujer,Publica nacional,16,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,6,6,7,7,6,6,5,4,6,7,3,5,3,0,5.66666666666667
Minoritaria,Mujer,Publica nacional,16,3,1,3,1,3,3,3,1,1,3,3,3,3,1,0,2,2,7,1,1,1,1,1,1,1,4,4,18,14,2.16666666666667
Predominante,Mujer,Publica nacional,16,0,1,1,1,1,1,1,1,0,0,0,1,0,1,0,6,6,2,1,6,7,7,2,7,6,3,6,7,2,4.91666666666667
Minoritaria,Mujer,Publica nacional,15,0,1,0,2,0,1,1,0,1,0,2,2,0,0,0,4,4,6,6,4,5,4,4,2,5,3,6,5,5,4.41666666666667
Predominante,Mujer,Publica nacional,15,0,1,3,1,3,1,1,0,1,2,2,1,1,3,0,6,5,7,7,5,5,5,3,5,6,5,5,10,10,5.33333333333333
Minoritaria,Mujer,Publica nacional,16,1,1,0,0,0,1,1,1,1,2,1,1,1,1,0,6,6,7,6,6,6,6,6,6,6,7,6,5,7,6.16666666666667
Minoritaria,Mujer,Publica nacional,15,0,3,0,1,0,3,2,0,1,3,3,0,0,0,3,7,5,7,7,4,4,2,4,3,6,7,2,9,10,4.83333333333333
Predominante,Mujer,Publica nacional,17,2,0,1,3,3,0,3,0,0,3,0,2,0,0,1,6,7,6,5,7,6,5,5,7,7,5,5,12,6,5.91666666666667
Predominante,Mujer,Publica nacional,15,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,5,6,7,7,6,5,5,7,7,6,7,5,3,3,6.08333333333333
Predominante,Mujer,Publica nacional,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,7,7,6,5,5,7,7,6,7,5,0,0,6.08333333333333
Predominante,Mujer,Publica nacional,18,0,1,0,2,0,1,1,0,1,0,2,2,0,0,0,1,6,6,6,6,6,6,6,6,6,6,6,5,5,5.58333333333333
Predominante,Mujer,Publica nacional,16,0,1,0,2,0,1,1,0,1,0,2,2,0,0,0,1,3,4,5,5,3,5,4,4,2,4,2,5,5,3.5
Predominante,Mujer,Publica nacional,15,3,0,0,2,1,1,1,0,1,2,1,0,0,3,0,6,6,6,7,6,2,2,6,2,7,7,1,8,7,4.83333333333333
Predominante,Mujer,Publica nacional,14,0,3,2,0,1,3,0,0,1,3,3,3,0,0,0,5,5,6,7,4,4,5,7,6,7,6,5,9,10,5.58333333333333
Predominante,Mujer,Publica nacional,16,3,3,1,2,3,1,2,0,1,2,0,0,3,2,3,7,7,4,5,7,7,7,1,7,7,3,7,15,11,5.75
Predominante,Mujer,Publica nacional,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,1,0,7
Minoritaria,Mujer,Publica nacional,15,3,3,2,2,0,3,0,0,0,3,3,3,0,0,0,7,7,7,7,7,6,6,7,7,7,7,7,13,9,6.83333333333333
Minoritaria,Mujer,Publica nacional,16,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,7,7,7,7,7,7,4,7,7,7,7,3,0,5,6.41666666666667
Minoritaria,Mujer,Publica nacional,16,0,1,2,3,0,1,2,0,1,2,1,0,0,3,2,6,6,7,7,6,6,6,7,6,7,7,7,9,9,6.5
Minoritaria,Mujer,Publica nacional,15,3,3,3,3,0,3,3,1,2,3,3,3,1,3,3,5,7,7,7,7,2,5,1,5,7,7,5,19,18,5.41666666666667
Minoritaria,Mujer,Publica nacional,15,1,1,0,0,0,1,1,1,1,2,1,1,1,1,2,5,4,7,7,6,4,4,7,4,7,7,4,5,9,5.5
Predominante,Mujer,Publica nacional,14,2,0,3,3,1,0,1,0,2,1,1,1,0,0,1,6,6,5,5,6,5,5,6,6,7,7,3,10,6,5.58333333333333
Predominante,Mujer,Publica nacional,15,1,3,0,0,0,3,3,0,0,1,3,0,0,1,3,7,7,4,3,1,5,4,1,4,7,3,1,10,8,3.91666666666667
Predominante,Mujer,Publica nacional,15,3,3,0,2,3,1,3,1,3,3,3,3,0,3,3,2,1,1,1,1,1,7,1,1,1,1,1,16,18,1.58333333333333
Predominante,Mujer,Publica nacional,16,1,2,3,2,1,3,2,1,1,2,2,3,1,1,2,6,6,7,6,6,7,7,6,6,6,6,6,15,12,6.25
Predominante,Mujer,Publica nacional,16,1,2,3,2,0,1,1,0,1,0,0,1,0,1,2,6,7,7,7,6,6,5,7,6,5,7,5,10,5,6.16666666666667
Minoritaria,Mujer,Publica nacional,16,2,1,1,1,1,0,3,2,3,3,2,1,3,1,3,7,4,6,6,7,6,4,4,3,7,6,4,11,16,5.33333333333333
Predominante,Mujer,Publica nacional,17,3,0,3,3,3,1,3,0,3,3,3,0,0,3,3,6,6,7,4,6,6,6,5,5,6,6,5,16,15,5.66666666666667
Predominante,Mujer,Publica nacional,17,1,0,3,2,1,1,1,0,0,0,1,1,0,1,3,3,2,3,2,1,4,3,1,3,4,3,1,9,6,2.5
Minoritaria,Mujer,Publica nacional,16,1,2,3,3,3,1,2,0,0,3,2,0,0,3,1,4,7,2,1,5,3,2,1,6,4,7,5,15,9,3.91666666666667
Predominante,Mujer,Publica nacional,16,1,1,1,1,2,1,1,1,1,3,3,0,0,1,3,7,7,7,1,7,5,5,7,7,7,7,5,9,11,6
Predominante,Mujer,Publica nacional,16,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,7,7,7,6,7,6,5,6,6,7,7,5,1,3,6.33333333333333
Predominante,Mujer,Publica nacional,18,3,3,3,1,1,3,3,1,1,3,3,0,0,1,1,7,7,7,7,7,7,7,7,7,7,7,7,18,9,7
Minoritaria,Mujer,Publica nacional,16,3,3,3,2,2,3,2,0,2,3,2,0,0,3,3,7,7,7,7,7,4,6,7,7,6,7,7,18,13,6.58333333333333
Predominante,Mujer,Publica nacional,16,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,7,7,6,3,6,6,6,1,6,6,5,6,5,2,5.41666666666667
Predominante,Mujer,Publica nacional,16,3,0,0,0,3,1,1,0,1,0,0,0,0,1,0,2,5,6,4,4,2,5,6,4,4,7,4,8,2,4.41666666666667
Predominante,Mujer,Publica nacional,17,1,1,2,1,0,1,0,0,1,0,0,1,0,1,1,7,7,4,1,7,6,6,1,6,7,1,6,6,4,4.91666666666667
Predominante,Mujer,Publica nacional,16,2,3,1,2,0,3,2,1,3,3,3,3,3,1,3,7,7,7,7,7,6,7,7,7,7,7,7,14,19,6.91666666666667
Minoritaria,Mujer,Publica nacional,16,1,3,3,2,1,3,3,0,1,3,3,1,0,3,3,1,5,3,2,4,2,4,1,5,1,4,4,16,14,3
Minoritaria,Mujer,Publica nacional,15,2,1,1,1,3,3,1,1,1,3,3,1,0,1,1,7,7,5,4,1,2,1,1,1,1,4,2,13,10,3
Predominante,Mujer,Publica nacional,17,3,3,1,1,1,3,3,3,3,3,3,3,3,3,2,1,4,7,6,4,4,4,5,4,5,7,4,18,20,4.58333333333333
Predominante,Mujer,Publica nacional,16,1,0,1,2,0,0,2,1,1,1,1,0,0,0,0,7,7,7,7,6,6,6,6,7,7,6,6,7,3,6.5
Predominante,Mujer,Publica nacional,16,1,1,2,1,2,0,1,0,1,1,1,1,1,2,1,4,4,4,4,4,4,3,4,4,4,4,4,8,8,3.91666666666667
Predominante,Mujer,Publica nacional,17,1,2,3,2,3,2,2,3,3,1,3,1,0,3,2,6,6,2,7,6,6,2,2,6,2,6,6,18,13,4.75
Predominante,Mujer,Publica nacional,16,2,2,3,2,3,1,1,0,1,1,1,0,0,1,1,1,1,7,5,1,4,5,5,5,3,7,2,14,5,3.83333333333333
Minoritaria,Mujer,Publica nacional,16,3,3,0,0,3,3,3,0,3,3,3,3,3,2,3,7,7,7,7,7,5,7,7,7,7,7,7,15,20,6.83333333333333
Predominante,Mujer,Publica nacional,14,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5,6,7,7,6,5,5,7,7,6,7,5,1,1,6.08333333333333
Predominante,Mujer,Publica nacional,14,2,3,3,1,3,2,1,2,2,3,2,1,2,3,1,6,5,3,5,6,2,3,1,5,6,5,5,17,14,4.33333333333333
Predominante,Mujer,Publica nacional,15,3,3,2,2,0,3,3,3,0,2,1,0,0,0,2,5,5,7,7,1,6,5,2,3,5,7,3,19,5,4.66666666666667
Predominante,Mujer,Publica nacional,17,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,2,6,2,6,0,5.33333333333333
Predominante,Mujer,Publica nacional,16,3,0,0,0,0,0,1,1,0,1,0,0,0,1,0,6,5,7,7,5,6,5,7,6,6,7,4,5,2,5.91666666666667
Predominante,Mujer,Publica nacional,15,1,2,0,0,3,0,0,0,1,0,1,3,3,3,3,4,5,7,7,7,7,7,7,5,7,7,5,6,14,6.25
Minoritaria,Mujer,Publica nacional,15,0,1,3,1,0,2,3,1,1,1,1,1,0,0,1,5,5,6,1,5,5,1,5,5,4,5,1,11,5,4
Predominante,Mujer,Publica nacional,15,3,2,3,2,0,3,3,1,0,0,2,0,0,2,0,5,6,7,7,7,5,5,7,5,7,7,5,17,4,6.08333333333333
Predominante,Mujer,Publica nacional,16,1,0,0,0,1,1,1,0,1,1,1,1,0,1,1,7,7,5,5,7,6,6,5,6,7,6,5,4,6,6
Predominante,Mujer,Publica nacional,15,2,1,1,2,0,1,1,3,1,1,0,1,1,2,2,6,6,6,6,6,6,6,4,6,6,4,5,11,8,5.58333333333333
Minoritaria,Mujer,Publica nacional,16,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,7,7,5,5,7,3,5,4,4,7,5,5,6,2,5.33333333333333
Minoritaria,Mujer,Publica nacional,15,3,3,3,3,3,1,1,2,3,3,3,3,1,3,2,1,1,7,7,7,5,4,7,4,4,6,4,19,18,4.75
Predominante,Mujer,Publica nacional,15,2,3,1,3,2,3,1,1,3,3,3,2,2,2,3,4,4,7,6,1,5,5,4,4,4,7,3,16,18,4.5
Predominante,Mujer,Publica nacional,15,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,5,3,7,7,7,4,1,7,2,6,7,2,2,4,4.83333333333333
Minoritaria,Mujer,Publica nacional,16,1,3,3,1,1,3,3,2,2,3,3,3,2,2,3,7,7,1,1,7,5,4,7,7,7,1,7,17,18,5.08333333333333
Predominante,Mujer,Publica nacional,16,1,1,3,2,1,2,3,0,0,1,1,0,0,0,3,6,6,7,5,7,4,5,4,6,7,4,5,13,5,5.5
Minoritaria,Mujer,Publica nacional,15,2,0,0,0,1,3,1,1,1,1,3,3,1,1,2,2,3,7,7,7,3,3,7,5,7,7,7,8,12,5.41666666666667
Predominante,Mujer,Publica nacional,16,1,1,2,1,0,1,1,0,1,1,1,2,2,1,1,1,1,7,5,7,1,1,4,1,5,7,1,7,9,3.41666666666667
Minoritaria,Mujer,Publica nacional,16,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,7,7,7,1,1,7,1,5,7,1,1,2,3.83333333333333
Predominante,Mujer,Publica nacional,15,1,0,1,1,1,1,0,0,1,1,0,0,0,1,1,7,7,6,4,7,7,5,4,7,7,6,6,5,4,6.08333333333333
Predominante,Mujer,Publica nacional,16,1,1,1,1,0,2,1,0,0,1,1,0,0,3,0,6,6,5,5,6,6,6,3,6,7,5,6,7,5,5.58333333333333
Minoritaria,Mujer,Publica nacional,14,3,3,3,3,3,3,3,3,3,3,1,3,3,1,1,7,7,7,1,7,5,5,4,6,1,7,6,24,15,5.25
Minoritaria,Mujer,Publica nacional,15,2,3,3,1,3,2,1,2,2,3,2,1,2,3,1,6,5,3,5,6,2,3,1,5,6,6,1,17,14,4.08333333333333
Minoritaria,Mujer,Publica nacional,15,1,1,1,2,3,1,2,0,2,2,3,2,1,1,0,2,2,6,5,2,5,5,5,5,2,6,2,11,11,3.91666666666667
Minoritaria,Mujer,Publica nacional,15,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,7,7,7,7,7,5,6,7,7,7,7,6,2,1,6.66666666666667
Minoritaria,Mujer,Publica municipal,18,3,1,3,0,2,1,3,1,0,1,1,1,0,2,0,6,5,7,7,7,4,4,5,2,6,7,3,14,5,5.25
Minoritaria,Mujer,Publica municipal,16,3,3,3,3,0,3,3,0,0,1,3,3,3,0,3,6,2,2,2,1,1,1,2,6,2,6,2,18,13,2.75
Minoritaria,Mujer,Publica municipal,17,2,3,3,2,3,3,3,1,3,1,1,0,0,3,1,7,7,2,2,6,6,6,1,7,7,4,7,20,9,5.16666666666667
Minoritaria,Mujer,Publica municipal,15,1,2,0,3,1,0,2,1,3,1,2,0,3,0,3,7,7,7,7,7,6,5,6,6,7,7,6,10,12,6.5
Minoritaria,Mujer,Publica municipal,16,1,1,0,1,0,1,1,0,0,1,1,3,0,1,1,5,7,6,5,3,5,5,6,5,5,6,6,5,7,5.33333333333333
Minoritaria,Mujer,Publica municipal,17,2,2,0,1,1,1,1,1,0,2,1,0,0,2,1,1,7,7,5,6,5,6,7,7,5,7,3,9,6,5.5
Minoritaria,Mujer,Publica municipal,14,3,1,1,1,3,3,2,2,1,3,3,2,1,1,2,4,2,6,2,2,2,2,2,2,2,3,2,16,13,2.58333333333333
Minoritaria,Mujer,Publica municipal,16,1,1,0,1,1,1,1,1,3,1,1,1,1,1,1,6,6,6,6,5,5,5,5,6,5,5,5,7,9,5.41666666666667
Minoritaria,Mujer,Publica municipal,16,3,3,3,3,1,3,3,2,3,1,3,1,3,3,3,7,7,7,7,7,6,6,6,6,7,7,6,21,17,6.58333333333333
Minoritaria,Mujer,Publica municipal,16,2,3,2,1,1,3,3,0,1,1,2,3,1,0,3,3,4,3,2,4,4,4,3,4,5,4,2,15,11,3.5
Predominante,Mujer,Publica municipal,17,2,2,1,3,2,2,0,2,2,0,2,1,2,2,2,6,6,6,7,7,5,5,6,6,7,5,5,14,11,5.91666666666667
Minoritaria,Hombre,Publica municipal,16,0,2,0,3,0,3,0,3,1,2,0,3,2,0,0,2,3,1,1,1,6,6,6,7,6,6,6,11,8,4.25
Minoritaria,Mujer,Publica municipal,16,2,3,0,3,1,1,1,1,1,1,1,3,3,1,1,2,4,3,4,5,6,6,1,1,1,1,1,12,11,2.91666666666667
Minoritaria,Mujer,Publica municipal,15,0,3,3,3,3,3,0,3,0,0,3,0,2,0,2,6,6,6,6,3,5,2,6,6,5,6,5,18,7,5.16666666666667
Minoritaria,Mujer,Publica municipal,15,2,2,0,0,1,2,0,1,2,3,1,0,0,2,3,5,5,5,6,2,6,5,2,6,2,3,5,8,11,4.33333333333333
Predominante,Mujer,Publica municipal,16,1,1,3,3,1,3,3,2,0,0,1,0,2,1,0,5,5,5,5,5,5,5,5,5,5,5,5,17,4,5
Minoritaria,Mujer,Publica municipal,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,3,0,7
Minoritaria,Mujer,Publica municipal,15,2,3,1,0,0,0,0,0,0,1,1,0,0,1,3,6,6,6,6,6,5,6,6,6,5,6,6,6,6,5.83333333333333
Minoritaria,Mujer,Publica municipal,15,3,3,1,2,3,3,3,3,2,3,2,3,2,3,3,2,2,5,5,2,2,1,5,1,4,3,2,21,18,2.83333333333333
Minoritaria,Mujer,Publica municipal,15,0,2,1,2,0,0,1,2,0,2,1,0,0,1,0,3,2,7,6,1,5,1,7,3,1,1,3,8,4,3.33333333333333
Minoritaria,Mujer,Publica municipal,15,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,6,6,4,6,6,6,6,6,2,6,6,0,2,5.41666666666667
Minoritaria,Mujer,Publica municipal,15,1,0,1,0,2,1,0,0,0,1,3,0,0,1,0,7,7,6,7,6,5,5,5,6,1,5,4,5,5,5.33333333333333
Minoritaria,Mujer,Publica municipal,16,1,0,1,1,2,0,0,0,0,1,1,1,1,1,1,6,6,7,3,6,5,3,5,5,7,5,5,5,6,5.25
Minoritaria,Mujer,Publica municipal,16,1,1,0,2,0,2,2,0,1,1,3,0,0,1,2,6,6,6,6,6,6,6,6,6,6,6,5,8,8,5.91666666666667
Minoritaria,Mujer,Publica municipal,14,1,1,2,1,0,1,0,0,0,0,1,1,2,0,0,1,1,7,7,7,2,3,2,1,5,6,5,6,4,3.91666666666667
Predominante,Hombre,Publica municipal,15,1,3,1,1,0,1,3,0,3,3,3,1,2,1,0,6,6,6,6,4,4,4,5,4,4,4,4,10,13,4.75
Minoritaria,Hombre,Publica municipal,16,3,2,0,0,0,0,1,1,1,0,1,0,1,0,1,2,5,6,6,6,4,2,3,4,4,6,3,7,4,4.25
Minoritaria,Hombre,Publica municipal,19,0,3,0,3,1,1,0,3,1,3,3,0,1,3,3,1,5,6,2,7,6,6,6,6,4,5,6,11,14,5
Minoritaria,Hombre,Publica municipal,14,3,0,0,0,0,2,1,0,0,3,0,3,0,1,1,5,6,6,7,6,6,2,7,5,4,4,5,6,8,5.25
Predominante,Hombre,Publica municipal,15,1,0,0,2,0,1,0,2,0,0,2,0,0,0,3,5,5,7,6,3,7,3,7,5,6,6,6,6,5,5.5
Minoritaria,Hombre,Publica municipal,16,3,0,1,1,0,1,1,2,1,0,3,3,1,1,1,6,6,6,6,7,6,6,6,6,7,7,5,9,10,6.16666666666667
Minoritaria,Hombre,Publica municipal,16,2,1,0,0,0,0,1,1,1,0,1,0,1,2,1,6,5,6,5,4,5,5,4,4,5,5,3,5,6,4.75
Minoritaria,Hombre,Publica municipal,14,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,5,5,7,7,7,6,5,6,5,7,7,5,4,1,6
Minoritaria,Hombre,Publica municipal,15,0,1,3,1,0,1,0,0,0,1,1,1,0,0,1,7,7,7,4,7,6,7,7,7,4,7,7,6,4,6.41666666666667
Minoritaria,Hombre,Publica municipal,18,1,0,1,0,1,0,3,0,0,3,0,3,0,2,0,6,6,6,6,6,3,5,5,6,5,7,2,6,8,5.25
Minoritaria,Hombre,Publica municipal,17,3,1,0,0,0,0,1,1,1,0,1,0,1,0,1,5,5,6,5,6,4,4,4,4,3,6,5,6,4,4.75
Minoritaria,Hombre,Publica municipal,17,1,2,1,1,1,0,1,2,1,0,0,1,1,2,3,3,5,6,5,5,5,5,6,5,5,6,5,9,8,5.08333333333333
Minoritaria,Hombre,Publica municipal,15,0,1,3,3,1,2,0,3,3,3,1,2,0,1,3,4,1,7,4,6,1,1,7,1,2,4,1,13,13,3.25
Minoritaria,Hombre,Publica municipal,17,0,3,0,1,0,0,2,0,0,1,0,0,2,1,3,2,2,4,6,2,5,6,6,5,5,6,5,6,7,4.5
