etnia,sexo,escuela,edad,DEP1,DEP2,DEP3,DEP4,DEP5,DEP6,DEP7,DEP8,GAD1,GAD2,GAD3,GAD4,GAD5,GAD6,GAD7,MSPSS1,MSPSS2,MSPSS3,MSPSS4,MSPSS5,MSPSS6,MSPSS7,MSPSS8,MSPSS9,MSPSS10,MSPSS11,MSPSS12,DEP_Total,GAD_Total,MSPSS_Total
Predominante,Hombre,Publica nacional,16,3,0,3,3,3,0,3,0,0,1,1,1,0,3,3,7,7,7,5,7,5,5,5,7,7,7,5,15,9,6.16666666666667
Minoritaria,Hombre,Publica nacional,16,3,1,0,1,0,1,3,0,3,1,1,2,0,3,1,6,6,6,7,7,5,5,5,6,7,5,6,9,11,5.91666666666667
Minoritaria,Hombre,Publica nacional,16,1,1,2,0,1,3,3,0,1,0,0,2,0,3,3,7,6,6,7,7,6,3,5,6,7,6,5,11,9,5.91666666666667
Minoritaria,Hombre,Publica nacional,14,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,7,7,7,7,7,3,5,7,5,7,7,5,4,1,6.16666666666667
Predominante,Hombre,Publica nacional,17,1,0,0,0,2,0,1,0,0,0,0,0,0,1,1,7,5,7,5,7,7,7,7,7,7,1,1,4,2,5.66666666666667
Minoritaria,Hombre,Publica nacional,16,0,0,2,2,3,0,1,1,2,2,1,0,0,1,1,7,7,4,3,7,5,6,3,7,7,5,6,9,7,5.58333333333333
Predominante,Hombre,Publica nacional,17,1,0,1,1,1,2,1,0,1,1,1,1,0,1,2,2,5,6,5,7,3,3,6,3,6,6,2,7,7,4.5
Predominante,Hombre,Publica nacional,16,3,0,0,0,3,0,3,1,1,0,0,1,0,3,0,3,3,6,6,3,2,2,6,5,2,7,4,10,5,4.08333333333333
Minoritaria,Hombre,Publica nacional,17,2,1,0,0,1,1,0,0,1,2,3,3,1,0,2,7,7,7,6,7,6,5,5,7,7,7,5,5,12,6.33333333333333
Predominante,Hombre,Publica nacional,16,1,1,2,1,1,1,1,1,0,1,1,0,0,1,1,6,6,7,6,7,6,6,6,6,7,6,4,9,4,6.08333333333333
Predominante,Hombre,Publica nacional,16,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,7,7,5,7,7,5,4,7,4,7,7,4,2,1,5.91666666666667
Minoritaria,Hombre,Publica nacional,17,3,0,3,3,3,3,3,1,3,3,3,3,1,1,3,7,7,7,7,7,7,7,6,7,7,7,1,19,17,6.41666666666667
Predominante,Hombre,Publica nacional,17,3,3,3,3,3,3,1,3,0,1,1,0,0,3,1,4,4,6,5,4,1,1,7,4,6,7,1,22,6,4.16666666666667
Predominante,Hombre,Publica nacional,17,0,3,3,0,0,0,3,0,0,2,1,0,0,0,2,6,6,7,7,7,3,5,4,6,5,6,4,9,5,5.5
Predominante,Hombre,Publica nacional,17,2,3,2,0,2,1,1,2,1,2,2,0,0,3,3,6,6,6,3,6,5,5,5,6,6,5,5,13,11,5.33333333333333
Minoritaria,Hombre,Publica nacional,16,2,1,3,1,1,0,2,0,2,1,1,1,0,1,3,6,6,6,6,7,5,5,4,6,7,7,6,10,9,5.91666666666667
Predominante,Hombre,Publica nacional,16,1,0,1,1,0,0,1,1,1,0,1,1,1,0,1,6,6,6,6,6,5,5,6,6,6,6,5,5,5,5.75
Predominante,Hombre,Publica nacional,16,2,1,1,1,3,3,3,3,3,3,3,3,2,2,2,3,2,7,7,5,6,4,4,6,7,7,1,17,18,4.91666666666667
Minoritaria,Hombre,Publica nacional,17,1,0,1,2,0,1,2,0,1,3,1,1,0,0,1,6,5,6,5,2,1,1,5,1,1,5,1,7,7,3.25
Predominante,Hombre,Publica nacional,16,1,0,3,1,0,3,3,0,0,2,3,2,0,1,1,5,5,6,5,5,6,6,4,6,4,6,6,11,9,5.33333333333333
Predominante,Hombre,Publica nacional,17,3,2,0,1,2,0,3,0,3,2,2,2,0,0,2,6,6,7,6,6,6,6,4,6,6,2,4,11,11,5.41666666666667
Predominante,Hombre,Publica nacional,17,3,3,3,1,0,3,3,1,1,3,2,2,0,0,0,5,6,7,7,7,4,4,7,3,4,3,6,17,8,5.25
Predominante,Hombre,Publica nacional,17,0,0,1,0,3,0,1,2,1,2,1,3,2,3,2,6,6,6,6,6,6,6,6,6,6,6,6,7,14,6
Predominante,Hombre,Publica nacional,16,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,4,4,4,6,4,4,4,5,6,6,6,6,3,0,4.91666666666667
Predominante,Hombre,Publica nacional,17,3,1,1,0,1,3,3,0,1,3,3,1,2,3,3,6,1,7,5,5,5,5,6,5,5,6,5,12,16,5.08333333333333
