Domicilio,Educacion,Sexo,Edad,C19_propio,C19_otros,Severidad_1,Severidad_2,Severidad_3,Reactancia_1,Reactancia_2,Reactancia_3,Reactancia_4,Reactancia_5,Reactancia_6,Reactancia_7,Reactancia_8,Reactancia_9,Reactancia_10,Reactancia_11,Actitud_1,Actitud_2,Actitud_3,NorSocial_1,NorSocial_2,NorSocial_3,NorMoral_1,NorMoral_2,NorMoral_3,Control_1,Control_2,Control_3,Control_4,Intencion_1,Intencion_2,Intencion_3
Ciudad_enorme,Universitaria,Mujer,45,No,Si,5,2,2,6,3,2,2,5,5,5,3,5,4,4,5,5,5,4,4,4,4,4,4,3,1,3,3,2,2,3
Ciudad_grande,Secundaria,Mujer,20,No,Si,5,2,4,2,6,4,4,4,6,6,4,5,6,5,5,6,5,4,6,6,5,5,6,4,7,5,7,6,4,4
Poblado,Secundaria,Mujer,41,No,Si,5,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Poblado,Post-secundaria,Mujer,62,No,Si,5,4,4,4,4,4,4,5,5,5,4,5,5,4,4,5,4,4,4,3,4,4,4,4,5,4,5,4,3,3
Ciudad_mediana,Universitaria,Mujer,38,No,Si,6,6,6,3,4,3,4,5,5,5,4,4,6,4,6,6,6,4,6,4,6,4,4,6,6,5,4,6,5,5
Ciudad_grande,Universitaria,Hombre,41,No,No,2,2,3,6,3,3,3,4,5,7,3,4,4,4,1,1,1,1,1,1,1,1,1,4,5,4,4,1,1,1
Ciudad_grande,Técnica,Mujer,46,No,No,4,2,2,7,4,4,5,5,5,6,4,6,6,4,1,1,1,1,1,1,1,1,1,1,7,4,1,1,1,1
Ciudad_mediana,Técnica,Mujer,30,No,No,5,5,5,3,4,4,4,4,5,4,4,5,5,4,6,5,5,4,4,4,4,4,5,5,5,4,4,5,6,6
Poblado,Secundaria,Mujer,43,No,No,6,4,4,4,3,5,3,3,5,4,4,5,5,4,6,6,6,6,5,6,5,6,6,6,6,6,6,7,7,7
Poblado,Técnica,Mujer,27,No,No,4,2,2,4,4,4,4,4,4,4,4,4,4,4,3,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4
Ciudad_grande,Bachillerato,Mujer,38,No,No,7,7,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Ciudad_enorme,Universitaria,Hombre,67,No,No,4,6,5,1,6,1,2,6,7,6,1,4,6,4,4,5,4,4,4,4,4,2,4,5,6,2,6,5,4,4
Ciudad_grande,Secundaria,Hombre,61,No,No,4,5,5,4,4,2,4,5,4,5,3,4,6,4,1,1,1,2,2,2,2,2,2,1,7,1,4,1,1,1
Ciudad_mediana,Secundaria,Hombre,36,No,No,4,6,6,7,5,4,4,7,4,7,4,7,7,6,3,3,2,3,3,3,1,2,2,4,7,4,5,1,1,1
Ciudad_grande,Universitaria,Hombre,62,No,No,6,6,6,5,4,3,5,6,6,5,5,5,5,4,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6
Ciudad_mediana,Universitaria,Hombre,36,No,No,6,7,7,5,4,3,4,6,7,7,4,6,7,4,6,6,6,6,6,6,6,7,6,4,6,6,6,6,6,7
Ciudad_enorme,Post-secundaria,Hombre,62,No,No,1,1,2,7,6,6,4,6,6,7,7,7,6,6,1,1,1,1,1,1,1,1,1,1,7,4,7,1,1,1
Ciudad_enorme,Técnica,Hombre,63,No,No,7,7,7,4,4,3,4,6,4,5,5,5,5,5,4,2,3,2,2,3,3,4,3,4,4,4,4,3,4,3
Ciudad_pequeña,Post-secundaria,Hombre,37,No,No,4,4,4,4,4,3,4,4,3,5,3,3,3,3,3,3,4,4,4,4,4,4,4,5,3,2,4,4,4,4
Ciudad_grande,Secundaria,Hombre,33,No,No,1,2,2,4,4,4,5,6,6,7,7,6,6,7,1,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1
Poblado,Técnica,Hombre,35,No,No,7,7,7,5,5,5,3,5,6,6,4,2,6,6,3,3,2,4,2,3,4,2,2,2,6,1,7,1,1,1
Poblado,Técnica,Hombre,42,No,No,5,5,5,4,6,5,5,6,6,6,4,5,6,7,2,3,2,3,4,4,4,4,7,4,3,2,1,4,4,4
Ciudad_enorme,Universitaria,Hombre,32,No,No,5,3,4,6,4,2,2,6,6,6,4,4,4,6,5,6,6,4,4,4,4,5,5,5,7,5,4,5,4,4
Ciudad_pequeña,Universitaria,Hombre,61,No,No,5,5,4,6,4,4,5,6,6,6,5,5,5,4,4,4,4,4,4,4,4,4,4,5,7,4,4,4,2,4
Ciudad_pequeña,Técnica,Hombre,61,No,No,6,5,4,4,4,4,4,4,5,4,3,4,4,3,5,5,4,4,4,4,4,3,4,3,5,4,4,4,4,4
Ciudad_enorme,Secundaria,Hombre,86,No,No,7,7,7,3,3,3,2,3,4,5,2,4,3,2,7,6,6,3,4,4,6,6,6,5,6,6,5,7,6,6
Ciudad_grande,Secundaria,Hombre,30,No,No,4,5,4,3,2,2,2,3,4,3,1,4,2,2,6,6,6,5,4,4,4,4,4,4,5,4,5,5,4,4
Poblado,Técnica,Hombre,63,No,No,5,5,5,4,4,3,4,4,5,5,4,4,4,4,3,3,2,2,2,2,4,2,2,2,6,2,2,2,2,2
Ciudad_mediana,Post-secundaria,Hombre,56,No,No,6,6,6,3,4,2,2,5,4,4,2,3,4,2,7,6,7,7,7,7,6,6,6,6,6,6,6,6,6,6
Ciudad_grande,Secundaria,Hombre,64,No,No,5,5,5,5,4,4,4,4,5,5,4,5,5,4,5,5,4,5,5,4,4,4,4,4,6,3,3,4,3,4
Poblado,Secundaria,Hombre,48,No,No,4,3,3,4,4,4,4,6,6,6,4,6,6,4,3,2,2,2,3,3,4,4,4,5,7,4,3,6,4,2
Ciudad_enorme,Secundaria,Hombre,52,No,No,5,6,6,6,5,5,3,7,6,7,4,7,7,6,2,4,1,1,1,1,2,1,1,1,7,1,3,1,1,1
Ciudad_mediana,Técnica,Hombre,51,No,No,4,4,4,5,4,4,5,5,5,6,4,5,6,6,2,1,2,3,3,3,4,3,3,3,7,2,2,3,2,1
Ciudad_enorme,Universitaria,Hombre,67,No,No,6,7,7,5,3,3,3,4,3,4,4,4,5,5,5,5,3,4,5,4,4,4,4,3,5,4,5,5,4,5
Ciudad_mediana,Post-secundaria,Hombre,61,No,No,7,7,7,2,2,2,2,6,6,6,3,6,6,6,5,5,5,4,4,4,4,4,4,5,5,4,4,5,5,5
Ciudad_pequeña,Técnica,Hombre,56,No,No,5,5,5,5,2,3,3,3,3,3,3,5,5,5,4,4,3,2,2,2,2,2,2,2,6,2,2,2,2,2
Ciudad_grande,Técnica,Hombre,45,No,No,5,4,4,6,4,4,5,6,5,6,4,5,6,5,4,4,3,4,3,4,5,4,5,5,7,3,3,4,3,3
Poblado,Técnica,Hombre,62,No,No,6,6,6,5,5,3,5,5,5,5,5,5,5,5,1,1,1,2,5,5,3,3,3,3,2,1,1,3,3,2
Poblado,Secundaria,Hombre,61,No,No,6,5,5,4,4,4,4,4,5,5,5,5,5,5,4,4,4,3,3,3,4,4,4,2,2,4,4,4,4,4
Poblado,Post-secundaria,Hombre,55,No,No,5,6,5,5,3,2,4,7,6,7,4,6,5,5,4,4,4,4,4,4,4,2,3,4,7,3,7,4,3,3
Poblado,Secundaria,Hombre,30,No,No,2,2,2,4,4,4,2,5,4,7,4,4,4,3,1,1,1,1,1,1,1,1,1,4,7,4,4,1,1,1
Ciudad_mediana,Bachillerato,Hombre,37,No,No,4,5,4,4,4,3,4,6,6,6,4,5,6,4,4,4,4,4,4,4,4,4,4,4,4,4,3,5,4,4
Ciudad_grande,Bachillerato,Hombre,63,No,No,7,7,7,3,2,3,3,3,5,4,4,4,5,5,6,6,6,5,5,5,5,5,5,5,5,6,7,5,5,5
Ciudad_enorme,Post-secundaria,Hombre,58,No,No,7,7,7,5,5,5,3,5,6,6,5,6,6,5,7,7,7,7,6,6,7,7,6,7,7,7,7,7,7,7
Ciudad_enorme,Universitaria,Hombre,70,No,No,7,7,7,5,4,2,4,4,7,6,4,5,7,6,4,2,4,4,5,4,4,4,4,5,6,4,4,5,4,4
Ciudad_pequeña,Técnica,Hombre,44,No,No,6,3,3,5,4,3,5,5,5,3,3,5,5,5,4,4,4,5,5,4,4,4,4,5,5,5,4,4,4,4
Ciudad_mediana,Técnica,Hombre,63,No,No,5,5,5,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,4,4,2,6,3,7,4,4,4
Ciudad_pequeña,Universitaria,Hombre,43,No,No,5,5,4,6,2,2,4,6,4,7,2,6,6,3,4,4,4,3,3,3,3,1,2,2,6,3,2,2,2,2
Ciudad_mediana,Universitaria,Hombre,39,No,No,1,4,3,7,1,1,2,7,7,7,7,6,1,7,1,1,1,1,1,1,7,1,1,4,1,1,7,7,1,1
Poblado,Universitaria,Hombre,39,No,No,7,6,7,4,4,4,4,6,6,7,3,4,6,3,6,5,4,3,4,5,6,4,6,5,6,5,3,4,2,2
Poblado,Universitaria,Hombre,26,No,No,5,5,5,5,3,1,2,5,5,5,3,3,5,3,5,5,5,4,4,4,5,5,5,5,5,5,5,4,5,5
Ciudad_mediana,Secundaria,Hombre,59,No,No,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Ciudad_grande,Bachillerato,Hombre,56,No,No,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Ciudad_mediana,Secundaria,Hombre,52,No,No,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4
Poblado,Secundaria,Hombre,61,No,No,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,4,4,4,4,5,5,5
Ciudad_enorme,Bachillerato,Hombre,26,No,No,6,6,6,1,1,1,1,1,5,2,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,7
Poblado,Post-secundaria,Hombre,31,No,No,7,7,7,6,2,1,1,7,7,7,1,7,7,7,1,1,1,1,1,1,2,1,2,2,7,1,7,1,1,1
Ciudad_enorme,Universitaria,Hombre,62,No,No,6,6,6,4,4,2,2,5,6,6,3,5,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Poblado,Post-secundaria,Hombre,61,No,No,7,7,7,7,7,7,7,7,6,6,6,6,6,6,5,5,5,4,4,5,4,5,5,5,5,5,5,5,5,5
Ciudad_grande,Post-secundaria,Hombre,42,No,No,5,6,5,4,4,4,3,4,4,3,3,4,3,4,4,5,5,5,4,5,5,4,4,5,4,5,5,5,4,3
Ciudad_enorme,Secundaria,Hombre,24,No,No,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,3
Ciudad_mediana,Post-secundaria,Hombre,20,No,No,4,4,4,6,5,5,3,6,2,5,4,6,2,4,3,5,5,4,5,5,4,5,5,4,3,4,4,5,4,4
Ciudad_grande,Secundaria,Hombre,27,No,No,3,3,4,5,5,5,3,5,4,3,5,5,5,6,2,1,1,2,3,4,2,3,2,3,6,6,5,3,5,3
Ciudad_grande,Secundaria,Hombre,23,No,No,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Ciudad_mediana,Secundaria,Hombre,50,No,No,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4
Ciudad_pequeña,Secundaria,Hombre,62,No,No,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Poblado,Secundaria,Hombre,42,No,No,4,3,3,5,4,5,4,5,5,4,4,5,5,5,5,5,4,5,4,5,5,4,4,5,5,4,5,5,4,5
Ciudad_grande,Secundaria,Mujer,65,No,No,5,5,5,5,4,4,4,4,4,4,4,4,4,5,4,4,4,5,5,5,5,4,4,5,6,4,2,5,5,5
Ciudad_enorme,Post-secundaria,Mujer,60,No,No,5,4,4,5,4,4,4,5,5,5,4,4,5,4,4,4,3,3,3,3,4,3,4,4,4,4,4,4,4,4
Poblado,Primaria,Mujer,63,No,No,6,6,4,3,3,3,4,2,2,4,2,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Ciudad_enorme,Secundaria,Mujer,63,No,No,2,2,4,7,5,4,3,6,6,6,4,6,7,4,4,3,4,2,2,2,2,2,2,2,7,3,1,3,2,2
Poblado,Técnica,Mujer,66,No,No,5,5,5,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Ciudad_enorme,Bachillerato,Mujer,26,No,No,6,6,6,2,2,3,2,2,2,3,2,2,1,2,6,6,7,5,5,5,5,6,6,6,6,5,5,5,6,6
Ciudad_pequeña,Post-secundaria,Mujer,40,No,No,5,6,7,3,1,1,2,2,6,4,2,2,2,2,7,5,7,7,7,6,6,7,7,6,5,3,7,7,7,7
Ciudad_pequeña,Secundaria,Mujer,36,No,No,7,5,4,2,3,2,2,3,5,5,3,4,5,3,5,6,4,6,6,6,6,6,6,5,5,4,2,5,5,5
Poblado,Secundaria,Mujer,56,No,No,7,7,7,5,5,4,5,4,7,5,3,4,5,3,7,7,7,7,7,7,7,7,7,7,4,7,7,7,7,7
Ciudad_enorme,Secundaria,Mujer,43,No,No,1,1,1,7,7,7,7,2,2,7,3,7,7,7,1,1,1,1,1,1,1,1,1,1,7,1,7,1,1,1
Poblado,Universitaria,Mujer,61,No,No,7,7,7,6,5,5,4,5,5,6,4,5,5,4,6,6,5,5,5,6,6,5,5,6,6,6,7,6,6,6
Ciudad_mediana,Post-secundaria,Mujer,64,No,No,6,6,6,4,4,4,4,4,5,5,4,5,5,4,6,6,4,5,5,5,6,6,6,5,5,5,5,5,5,5
Poblado,Primaria,Mujer,60,No,No,4,4,4,7,4,3,4,6,4,7,4,7,7,4,2,3,4,4,2,4,4,2,3,1,7,4,1,1,1,1
Ciudad_mediana,Secundaria,Mujer,56,No,No,5,5,5,6,4,4,3,5,3,6,2,5,3,5,6,5,5,5,5,6,5,5,5,4,6,6,6,5,6,6
Ciudad_enorme,Universitaria,Mujer,57,No,No,6,6,4,7,5,7,5,7,6,7,7,7,7,7,4,3,3,4,4,4,3,2,3,4,7,4,1,3,3,3
Poblado,Primaria,Mujer,44,No,No,6,6,6,3,3,5,3,4,5,4,3,3,3,3,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Poblado,Secundaria,Mujer,35,No,No,5,6,5,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4,5,5,5,5,5,5,5,4,4,4
Poblado,Universitaria,Mujer,41,No,No,3,4,1,5,3,4,5,4,5,4,4,5,5,4,1,1,1,1,1,1,1,1,1,7,7,7,7,1,1,1
Ciudad_enorme,Secundaria,Mujer,64,No,No,7,7,7,4,2,2,4,5,3,6,3,3,4,2,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7
Ciudad_enorme,Universitaria,Mujer,64,No,No,6,7,7,7,2,2,2,7,7,7,4,7,7,4,5,4,4,4,4,4,4,4,4,2,7,2,6,6,6,4
Poblado,Bachillerato,Mujer,49,No,No,5,6,6,2,2,2,4,3,4,4,3,4,4,4,7,7,7,4,5,5,6,6,6,5,6,6,6,5,6,6
Poblado,Secundaria,Mujer,36,No,No,5,4,3,2,6,7,3,6,6,7,7,6,6,6,6,7,5,6,6,7,7,7,6,6,6,5,6,6,5,6
Ciudad_grande,Universitaria,Mujer,64,No,No,7,6,6,3,2,3,4,5,6,5,3,5,5,4,6,6,6,6,6,6,7,6,6,7,6,6,5,6,6,6
Ciudad_pequeña,Técnica,Mujer,40,No,No,7,7,7,6,7,7,7,6,7,7,7,7,7,6,1,1,2,4,7,4,7,7,7,3,7,3,3,2,2,1
Ciudad_grande,Universitaria,Mujer,69,No,No,7,6,6,4,4,4,4,4,4,4,4,4,4,4,6,4,4,5,5,5,5,7,6,5,5,5,5,5,5,5
Poblado,Primaria,Mujer,62,No,No,7,5,5,2,2,1,4,4,5,7,2,4,5,2,7,6,6,4,4,4,7,7,7,6,7,6,6,7,7,7
Ciudad_pequeña,Secundaria,Mujer,23,No,No,5,5,4,4,4,3,3,4,5,5,4,4,7,4,2,2,1,3,2,2,2,2,2,4,5,2,3,1,2,3
Ciudad_mediana,Universitaria,Mujer,57,No,No,6,6,6,5,4,5,4,5,5,5,5,5,5,5,6,6,5,5,5,5,6,5,6,5,6,5,6,6,5,5
Poblado,Técnica,Mujer,63,No,No,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Ciudad_enorme,Secundaria,Mujer,62,No,No,6,6,5,4,4,4,5,5,5,4,4,4,4,4,6,6,4,6,5,4,5,5,5,5,5,5,4,5,5,5
Ciudad_enorme,Universitaria,Mujer,74,No,No,7,7,7,3,2,1,1,4,6,5,1,4,4,1,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,7
Ciudad_grande,Secundaria,Mujer,42,No,No,6,6,5,2,4,2,4,4,5,3,4,2,4,3,7,7,7,6,6,6,7,7,7,7,7,7,7,7,7,7
Ciudad_enorme,Universitaria,Mujer,56,No,No,6,5,5,4,2,2,2,4,5,2,2,4,4,2,7,7,7,6,6,6,6,6,6,6,6,7,7,7,7,7
Poblado,Secundaria,Mujer,39,No,No,7,7,7,7,6,5,4,3,2,1,1,2,3,4,7,7,7,7,7,7,7,7,7,7,7,7,7,4,4,4
Poblado,Secundaria,Mujer,19,No,No,4,2,5,4,5,4,5,5,7,5,4,5,7,4,7,6,6,6,6,5,6,7,7,7,7,6,7,6,6,7
Poblado,Universitaria,Mujer,37,No,No,4,3,3,5,5,5,5,5,5,6,5,6,5,5,2,2,3,3,3,3,2,2,2,2,6,2,5,3,3,3
Ciudad_mediana,Bachillerato,Mujer,50,No,No,5,6,6,4,5,4,2,6,6,6,2,6,7,4,7,5,7,4,4,4,6,6,6,5,5,6,4,7,7,7
Ciudad_pequeña,Secundaria,Mujer,46,No,No,4,4,4,3,3,3,4,4,5,4,3,4,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4
Poblado,Universitaria,Mujer,33,No,No,5,5,4,6,5,6,5,5,4,5,6,5,4,5,4,5,6,4,5,5,4,5,4,5,5,4,5,5,4,4
Ciudad_mediana,Secundaria,Mujer,61,No,No,1,2,2,7,4,4,4,3,3,2,5,4,2,5,1,1,1,3,3,3,1,1,1,1,4,4,2,1,1,1
Ciudad_grande,Post-secundaria,Mujer,42,No,No,3,5,4,4,4,5,4,4,5,4,5,5,5,5,5,5,4,4,5,5,4,5,4,4,5,4,4,4,5,4
Poblado,Técnica,Mujer,32,No,No,7,6,5,6,4,6,5,3,6,5,5,6,5,6,7,4,6,6,5,5,5,5,4,5,6,5,5,6,4,6
Ciudad_pequeña,Técnica,Mujer,60,No,No,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,1,3,3,3,4,4,4,4,4,4,4,4,4,4
Ciudad_pequeña,Secundaria,Mujer,24,No,No,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4
Ciudad_mediana,Universitaria,Mujer,73,No,No,6,7,6,4,3,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,4,4,4,4,4,4,4,4,4,4
Ciudad_pequeña,Post-secundaria,Mujer,35,No,No,1,1,1,6,4,4,2,2,2,7,2,2,4,2,2,2,2,4,4,4,2,2,2,3,6,2,1,1,1,1
Poblado,Técnica,Mujer,44,No,No,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Ciudad_mediana,Post-secundaria,Mujer,27,No,No,5,5,4,4,3,3,3,6,3,5,4,6,6,5,5,4,4,3,4,3,3,3,4,5,6,4,4,7,4,4
Ciudad_mediana,Técnica,Mujer,54,No,No,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Poblado,Universitaria,Mujer,44,No,No,2,2,2,5,5,4,4,5,5,5,4,4,4,4,1,1,1,1,1,1,1,1,1,2,6,1,7,1,1,1
Ciudad_mediana,Secundaria,Mujer,52,No,No,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Ciudad_grande,Secundaria,Mujer,62,No,No,7,7,7,6,5,1,1,4,4,5,3,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Ciudad_mediana,Primaria,Mujer,29,No,No,4,4,4,4,4,3,3,5,5,6,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Ciudad_mediana,Secundaria,Mujer,31,No,No,6,6,6,4,4,4,3,4,4,4,5,4,3,4,7,7,6,5,5,5,5,5,4,4,5,4,5,4,5,4
Ciudad_mediana,Secundaria,Mujer,34,No,No,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Ciudad_mediana,Secundaria,Mujer,41,No,No,4,4,5,3,5,4,3,5,5,3,4,3,5,3,2,4,3,4,3,4,3,5,4,4,5,4,3,5,3,3
Poblado,Secundaria,Mujer,29,No,No,7,6,6,1,4,4,5,4,4,4,4,4,4,4,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Poblado,Secundaria,Mujer,27,No,No,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Poblado,Técnica,Mujer,57,No,No,5,5,4,3,3,3,3,4,4,5,4,4,4,4,7,1,1,6,6,6,5,6,6,7,7,7,7,5,6,7
Ciudad_enorme,Secundaria,Mujer,20,No,No,5,2,2,6,6,4,4,5,6,6,5,5,5,5,5,6,4,6,6,6,4,6,4,4,5,4,4,4,4,4
Ciudad_enorme,Universitaria,Hombre,31,No,Si,6,5,6,3,3,3,3,5,5,5,3,3,4,3,5,5,5,6,6,6,6,6,6,3,7,4,4,7,6,6
Ciudad_grande,Secundaria,Hombre,60,No,Si,7,6,6,4,2,1,2,4,5,5,3,4,5,4,4,2,2,4,4,4,4,4,4,4,5,5,6,4,4,4
Poblado,Universitaria,Hombre,27,No,Si,7,5,4,2,1,1,1,3,5,5,2,4,6,3,6,6,4,5,4,5,6,5,5,4,5,5,4,5,5,5
Ciudad_enorme,Secundaria,Hombre,56,No,Si,7,6,6,7,5,4,3,5,5,6,4,6,4,5,3,4,2,2,2,3,4,3,4,4,6,4,5,5,4,4
Ciudad_mediana,Secundaria,Hombre,55,No,Si,6,5,6,5,4,3,3,6,7,6,4,5,5,4,4,4,4,3,3,3,4,2,3,3,6,3,4,3,2,3
Ciudad_enorme,Universitaria,Hombre,30,No,Si,5,4,4,5,5,4,3,5,6,6,4,5,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5
Ciudad_grande,Post-secundaria,Hombre,46,No,Si,5,3,5,6,3,2,2,7,6,7,3,6,6,5,1,1,1,1,1,1,1,1,1,6,7,1,3,1,1,1
Ciudad_pequeña,Post-secundaria,Hombre,51,No,Si,7,7,7,6,3,5,3,5,5,7,3,5,5,5,4,4,4,4,4,4,6,4,4,3,7,3,1,5,3,2
Ciudad_grande,Universitaria,Hombre,34,No,Si,7,7,7,4,5,3,4,5,4,7,4,4,6,7,4,5,5,5,6,6,2,4,3,4,4,5,4,3,4,5
Ciudad_enorme,Universitaria,Hombre,44,No,Si,6,6,6,4,4,4,3,6,4,6,3,5,4,4,7,7,6,4,6,5,7,6,6,7,7,6,6,7,7,7
Ciudad_pequeña,Secundaria,Hombre,52,No,Si,6,7,7,4,3,3,3,4,5,5,4,5,7,3,4,4,4,4,4,4,4,3,4,4,7,4,4,5,4,4
Ciudad_pequeña,Universitaria,Hombre,46,No,Si,6,4,3,6,4,2,2,6,4,6,2,7,6,2,4,2,2,3,3,3,4,3,4,5,7,3,5,6,4,3
Poblado,Secundaria,Hombre,26,No,Si,5,4,5,4,3,1,3,5,5,5,3,4,5,4,3,4,2,2,2,2,4,4,4,3,5,2,3,3,4,4
Ciudad_mediana,Secundaria,Hombre,43,No,Si,7,6,5,5,3,2,5,5,5,5,3,3,4,3,5,4,2,4,3,3,4,4,4,6,7,5,4,5,4,4
Poblado,Universitaria,Hombre,54,No,Si,7,7,7,2,1,1,1,1,1,1,1,1,1,1,6,6,6,4,4,5,6,6,6,6,6,4,5,7,7,7
Ciudad_grande,Universitaria,Hombre,34,No,Si,6,6,6,5,3,3,4,5,7,6,4,5,7,4,7,7,7,6,6,6,6,6,6,3,6,4,4,5,5,6
Ciudad_enorme,Universitaria,Hombre,44,No,Si,6,4,4,5,5,1,4,6,5,6,1,5,4,5,5,6,5,4,4,4,4,4,4,4,3,4,4,6,4,4
Poblado,Universitaria,Hombre,43,No,Si,5,7,6,3,5,3,3,7,6,7,1,4,3,3,4,5,4,2,4,4,4,4,5,4,4,4,4,4,3,4
Poblado,Secundaria,Hombre,28,No,Si,1,7,3,7,3,1,1,7,7,7,7,7,7,1,1,1,1,7,1,1,1,1,1,1,7,1,7,1,1,1
Poblado,Secundaria,Hombre,67,No,Si,5,5,5,4,3,3,3,3,5,5,3,2,6,4,4,4,4,5,5,4,4,4,4,4,5,4,3,4,4,4
Ciudad_grande,Universitaria,Hombre,63,No,Si,6,6,5,2,4,3,3,5,5,4,3,4,4,3,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6
Ciudad_enorme,Universitaria,Hombre,62,No,Si,5,3,4,4,3,3,4,5,4,5,3,4,4,4,5,5,5,5,4,4,4,3,4,5,7,5,5,5,4,4
Ciudad_grande,Secundaria,Hombre,67,No,Si,7,7,7,1,3,4,2,4,7,5,3,5,6,5,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7
Poblado,Bachillerato,Hombre,36,No,Si,5,4,5,4,3,3,3,4,3,5,4,5,4,4,3,3,3,3,4,3,3,4,4,5,7,4,6,7,4,4
Poblado,Universitaria,Hombre,39,No,Si,6,6,6,3,2,3,4,6,7,5,3,4,7,4,5,5,4,3,4,4,3,4,5,3,6,3,7,4,4,4
Ciudad_grande,Primaria,Hombre,45,No,Si,6,6,6,4,4,4,3,4,4,5,4,5,4,4,6,6,6,4,4,4,5,5,5,5,6,6,6,5,5,5
Poblado,Primaria,Hombre,23,No,Si,7,7,7,1,7,1,1,1,7,7,1,7,7,1,2,5,1,7,7,7,7,7,7,7,7,7,7,7,7,7
Poblado,Técnica,Hombre,53,No,Si,5,6,5,6,4,2,1,6,6,6,4,4,3,6,1,1,1,2,2,2,2,2,2,2,6,1,2,3,3,2
Poblado,Técnica,Hombre,24,No,Si,4,5,3,5,2,2,2,5,4,5,3,3,3,3,6,6,5,4,4,4,5,4,4,4,6,3,4,5,4,4
Ciudad_mediana,Secundaria,Hombre,34,No,Si,5,5,5,4,4,3,4,5,5,5,3,4,4,4,6,5,5,5,5,5,4,4,5,4,5,5,5,6,5,5
Ciudad_mediana,Post-secundaria,Hombre,27,No,Si,4,4,3,4,3,3,3,3,3,3,4,6,4,3,3,2,2,3,3,4,3,3,3,3,6,3,6,2,2,2
Poblado,Secundaria,Hombre,57,No,Si,4,4,4,4,3,1,2,1,5,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4
Ciudad_grande,Secundaria,Hombre,64,No,Si,6,6,6,6,5,5,4,6,6,6,6,6,6,6,5,6,6,4,4,4,5,4,4,4,6,5,4,3,3,4
