Domicilio,Educacion,Sexo,Edad,C19_propio,C19_otros,Severidad_1,Severidad_2,Severidad_3,Reactancia_1,Reactancia_2,Reactancia_3,Reactancia_4,Reactancia_5,Reactancia_6,Reactancia_7,Reactancia_8,Reactancia_9,Reactancia_10,Reactancia_11,Actitud_1,Actitud_2,Actitud_3,NorSocial_1,NorSocial_2,NorSocial_3,NorMoral_1,NorMoral_2,NorMoral_3,Control_1,Control_2,Control_3,Control_4,Intencion_1,Intencion_2,Intencion_3
Poblado,Universitaria,Mujer,66,No,No,7,7,7,4,4,4,5,6,7,6,4,6,7,4,7,7,7,7,7,7,7,7,7,7,6,3,4,7,7,7
Poblado,Secundaria,Mujer,37,No,No,4,4,4,5,4,5,5,5,5,5,5,5,5,4,1,1,1,1,1,1,1,1,1,5,5,4,4,1,1,1
Ciudad_grande,Bachillerato,Mujer,22,No,No,7,7,5,4,4,4,4,6,6,7,3,4,5,4,5,3,4,5,5,4,4,4,5,5,7,4,4,5,4,4
Ciudad_enorme,Bachillerato,Mujer,34,No,No,7,6,6,6,7,6,6,5,5,5,4,4,4,6,7,7,6,6,6,5,6,6,6,6,5,6,5,5,6,6
Ciudad_grande,Técnica,Mujer,50,No,No,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Ciudad_enorme,Bachillerato,Hombre,63,No,Si,5,4,5,2,2,2,4,5,4,3,3,4,4,3,6,6,4,4,4,4,5,5,5,7,7,4,7,7,5,5
Poblado,Universitaria,Hombre,46,No,Si,5,5,5,4,4,3,4,5,5,5,3,5,5,4,5,5,5,4,4,4,4,4,4,4,4,5,5,5,5,5
Ciudad_mediana,Secundaria,Hombre,18,No,Si,5,4,5,5,5,1,3,5,5,5,3,3,5,3,4,4,3,3,3,3,3,2,2,3,6,1,1,3,2,2
Ciudad_grande,Universitaria,Hombre,44,No,Si,6,6,6,3,4,3,3,4,3,4,3,4,4,5,5,5,4,4,4,4,4,3,4,3,6,3,4,4,3,3
Ciudad_grande,Secundaria,Hombre,57,No,Si,5,6,5,5,4,5,3,6,5,6,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Ciudad_pequeña,Técnica,Hombre,70,No,Si,7,7,7,1,1,2,4,6,6,4,2,5,5,4,7,7,7,4,3,7,7,7,7,7,7,7,7,7,7,7
Poblado,Universitaria,Hombre,35,No,Si,5,4,4,5,4,3,4,5,5,6,4,5,7,6,1,1,1,1,1,1,1,1,1,1,7,1,7,1,1,1
Ciudad_grande,Secundaria,Hombre,47,No,Si,6,4,4,5,4,3,3,7,7,5,3,5,4,4,4,5,4,4,4,4,4,4,4,2,7,1,3,1,1,3
Poblado,Universitaria,Hombre,34,No,Si,6,5,4,4,4,4,6,7,5,6,4,6,6,4,3,5,3,4,4,4,3,3,3,3,3,3,4,4,3,2
Poblado,Universitaria,Hombre,36,No,Si,7,7,7,4,4,3,3,6,4,6,4,4,4,4,4,4,4,3,5,3,4,3,4,5,7,5,2,3,3,2
Poblado,Secundaria,Hombre,56,No,Si,5,6,6,3,3,3,3,5,6,6,4,5,5,4,7,7,7,4,5,4,5,4,6,6,6,4,4,7,4,4
Ciudad_mediana,Bachillerato,Hombre,63,No,Si,7,7,7,4,3,2,4,5,6,4,3,4,4,2,6,6,6,6,6,6,6,6,6,6,4,6,6,6,6,6
Ciudad_pequeña,Secundaria,Hombre,33,No,Si,3,3,4,6,4,3,4,6,6,6,4,4,4,4,2,2,3,2,3,3,2,2,3,4,5,3,3,4,2,2
Poblado,Bachillerato,Hombre,24,No,Si,5,4,4,5,4,4,3,5,6,7,4,5,6,5,6,5,5,6,6,6,5,6,6,5,6,5,4,5,5,5
Poblado,Post-secundaria,Hombre,40,No,Si,6,6,6,5,3,3,3,5,5,5,4,4,5,4,1,1,1,2,2,2,2,2,2,4,6,2,2,2,2,2
Poblado,Post-secundaria,Hombre,64,No,Si,7,4,5,4,3,3,2,6,6,6,2,6,3,5,4,3,5,3,3,3,3,3,3,5,7,4,2,4,4,3
Ciudad_mediana,Post-secundaria,Hombre,60,No,Si,2,4,4,4,2,3,4,6,6,7,4,6,7,4,1,1,1,1,1,1,4,1,1,1,7,1,1,1,1,1
Ciudad_grande,Post-secundaria,Hombre,22,No,Si,3,3,3,4,3,2,2,5,3,4,4,3,5,3,2,2,2,2,4,4,2,1,2,1,7,1,7,1,1,1
Ciudad_mediana,Secundaria,Hombre,44,No,Si,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,5,4,4,4,4,4,4,4,4,4,4,4,4,4
Ciudad_grande,Secundaria,Hombre,44,No,Si,4,4,4,5,4,4,3,6,4,6,4,5,7,4,4,4,3,2,2,2,2,1,2,4,7,4,4,2,1,1
Ciudad_mediana,Universitaria,Hombre,29,No,Si,4,5,5,5,3,3,3,4,4,4,3,3,4,4,4,4,4,4,4,4,3,3,3,5,6,3,6,5,4,4
Ciudad_pequeña,Universitaria,Hombre,61,No,Si,7,7,7,3,3,3,3,5,6,6,3,6,6,6,7,5,7,5,5,5,6,6,6,6,6,5,7,6,6,6
Poblado,Secundaria,Hombre,44,No,Si,3,3,3,4,4,3,4,5,5,5,4,5,6,4,2,2,1,2,2,2,2,2,2,6,7,4,7,2,2,2
Ciudad_mediana,Bachillerato,Hombre,25,No,Si,6,5,3,3,4,3,4,6,5,5,4,4,7,4,6,3,2,4,5,4,4,5,5,4,6,4,4,5,5,5
Poblado,Post-secundaria,Hombre,57,No,Si,5,3,5,5,5,5,3,5,5,5,5,5,5,5,4,4,4,4,3,3,4,4,4,5,5,6,5,4,4,4
Ciudad_grande,Bachillerato,Hombre,39,No,Si,4,5,4,4,2,2,4,5,4,5,3,4,5,4,3,3,3,3,3,2,2,2,2,2,5,1,1,2,1,1
Ciudad_mediana,Técnica,Hombre,63,No,Si,7,7,6,2,3,2,1,2,6,4,2,5,6,3,5,5,4,3,4,4,5,4,4,7,7,7,5,4,4,4
Poblado,Secundaria,Hombre,26,No,Si,5,5,5,4,4,3,3,5,5,5,3,5,4,4,3,3,3,3,3,3,2,1,3,4,6,1,6,2,2,2
Ciudad_grande,Secundaria,Hombre,44,No,Si,6,6,6,4,3,3,4,4,4,5,4,5,6,5,6,5,4,5,5,5,5,4,5,4,5,5,5,5,4,4
Poblado,Bachillerato,Hombre,24,No,Si,4,5,5,4,4,2,4,4,4,5,3,4,5,4,4,4,4,4,3,3,4,4,4,4,5,4,4,4,4,4
Ciudad_grande,Técnica,Hombre,51,No,Si,6,6,6,5,3,2,4,4,4,4,4,3,2,4,5,4,4,4,4,4,4,5,4,4,6,4,4,5,4,4
Ciudad_grande,Bachillerato,Hombre,36,No,Si,1,2,2,7,4,4,4,7,7,7,4,7,7,7,1,1,1,4,4,4,1,1,1,4,7,4,4,1,1,1
Poblado,Universitaria,Hombre,29,No,Si,4,1,1,4,3,3,3,5,5,5,4,4,6,5,2,2,4,2,2,2,2,1,2,5,7,4,7,1,2,1
Poblado,Post-secundaria,Hombre,26,No,Si,6,6,6,6,4,4,4,4,4,4,4,5,5,5,5,4,4,4,4,4,4,4,4,4,7,3,3,4,4,4
Ciudad_enorme,Bachillerato,Hombre,29,No,Si,6,4,4,4,4,3,4,5,5,5,4,5,5,5,6,6,6,4,4,4,5,5,6,5,5,4,4,4,4,5
Ciudad_pequeña,Universitaria,Hombre,64,No,Si,5,5,5,6,4,5,4,7,7,7,4,5,5,4,6,6,6,5,5,5,6,6,6,6,6,5,5,6,6,6
Ciudad_enorme,Post-secundaria,Hombre,46,No,Si,6,5,5,4,5,4,3,5,5,5,5,5,5,5,4,4,3,4,4,4,4,3,4,4,5,4,4,5,3,3
Poblado,Secundaria,Hombre,42,No,Si,5,5,5,5,3,3,4,5,5,5,4,5,5,3,4,4,3,3,3,4,5,3,4,5,5,3,3,3,3,3
Poblado,Universitaria,Hombre,34,No,Si,5,5,5,5,4,4,4,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Ciudad_enorme,Bachillerato,Hombre,26,No,Si,7,7,6,2,5,5,1,3,5,6,2,2,3,3,7,7,7,5,5,5,5,6,6,6,7,6,7,6,6,6
