Id;Survey_finish_time;Severity_1;Severity_2;Severity_3;Reactance_1;Reactance_2;Reactance_3;Reactance_4;Reactance_5;Reactance_6;Reactance_7;Reactance_8;Reactance_9;Reactance_10;Reactance_11;Attitude_1;Attitude_2;Attitude_3;Social_norms_1;Social_norms_2;Social_norms_3;Moral_norms_1;Moral_norms_2;Moral_norms_3;Beh_control_1;Beh_control_2;Beh_control_3;Beh_control_4;Intention_1;Intention_2;Intention_3;Residence;Education;Sex;Years_old;Age;Self_sick;Know;Know_recode;Reactance;Severity;Attitude;Beh_Control;Social_norms;Moral_norms;Intention
40;311;7;7;7;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;0;44;4;2;2;0;4;7;4;4;4;4;4
239;1073;6;6;6;4;4;4;2;6;6;6;2;5;4;3;5;4;4;5;5;4;6;4;6;6;7;6;4;5;6;5;1;6;1;63;6;2;2;0;418,181,818,181,818;6;433,333,333,333,333;5,75;466,666,666,666,667;533,333,333,333,333;533,333,333,333,333
221;993;5;5;4;4;4;2;2;2;2;5;4;2;2;2;1;1;1;1;1;1;4;1;1;1;1;1;1;1;1;1;1;2;1;54;5;2;2;0;281,818,181,818,182;466,666,666,666,667;1;1;1;2;1
380;810;4;5;5;4;3;3;3;5;4;5;3;4;4;4;2;3;2;4;4;3;2;1;2;4;7;3;1;3;2;1;1;3;1;57;5;2;2;0;381,818,181,818,182;466,666,666,666,667;233,333,333,333,333;3,75;366,666,666,666,667;166,666,666,666,667;2
560;734;5;5;5;6;4;3;5;5;6;6;4;5;7;4;6;4;4;5;5;4;5;4;5;5;6;6;3;4;5;5;2;2;1;58;5;2;2;0;5;5;466,666,666,666,667;5;466,666,666,666,667;466,666,666,666,667;466,666,666,666,667
432;618;1;2;2;6;6;4;6;6;6;7;4;7;7;5;1;1;1;1;1;1;1;1;1;1;7;1;7;1;1;1;1;3;1;41;4;2;2;0;581,818,181,818,182;166,666,666,666,667;1;4;1;1;1
416;605;4;3;3;5;5;6;5;5;4;6;4;6;5;5;1;1;1;2;3;2;4;1;2;6;6;5;2;4;4;2;2;2;1;61;6;2;2;0;509,090,909,090,909;333,333,333,333,333;1;4,75;233,333,333,333,333;233,333,333,333,333;333,333,333,333,333
405;434;5;6;6;4;3;2;3;4;5;4;3;3;5;4;5;4;4;4;4;4;2;4;3;2;5;1;2;4;4;2;1;1;1;33;3;2;2;0;363,636,363,636,364;566,666,666,666,667;433,333,333,333,333;2,5;4;3;333,333,333,333,333
387;329;7;7;7;4;4;4;5;6;7;6;4;6;7;4;7;7;7;7;7;7;7;7;7;7;6;3;4;7;7;7;1;6;1;66;7;2;2;0;518,181,818,181,818;7;7;5;7;7;7
540;319;4;4;4;5;4;5;5;5;5;5;5;5;5;4;1;1;1;1;1;1;1;1;1;5;5;4;4;1;1;1;1;3;1;37;3;2;2;0;481,818,181,818,182;4;1;4,5;1;1;1
